Токен;Возможные теги;Частота в train
▁;BRAND, O, TYPE;3071
е;BRAND, O, TYPE;993
▁с;BRAND, O, TYPE;948
ки;BRAND, O, TYPE;769
к;BRAND, O, TYPE;750
о;BRAND, O, TYPE;748
ка;BRAND, O, TYPE;711
а;BRAND, O, TYPE;708
▁для;O, TYPE;679
и;BRAND, O, TYPE;662
ы;BRAND, O, TYPE;654
н;BRAND, O, TYPE;574
ная;BRAND, O, TYPE;547
▁сыр;BRAND, O, TYPE;497
ные;BRAND, O, TYPE;449
я;BRAND, O, TYPE;449
й;BRAND, O, TYPE;430
ь;BRAND, O, TYPE;418
ный;BRAND, O, TYPE;410
▁со;BRAND, O, TYPE;401
▁в;BRAND, O, TYPE;373
у;BRAND, O, TYPE;373
т;BRAND, O, TYPE;349
ны;BRAND, O, TYPE;324
п;BRAND, O, TYPE;306
▁о;BRAND, O, TYPE;304
ное;BRAND, O, TYPE;298
▁мор;BRAND, O, TYPE;272
то;BRAND, O, TYPE;272
ц;BRAND, O, TYPE;272
ч;BRAND, O, TYPE;266
▁на;BRAND, O, TYPE;264
в;BRAND, O, TYPE;259
ль;BRAND, O, TYPE;258
▁су;BRAND, O, TYPE;256
▁твор;BRAND, O, TYPE;251
ты;O, TYPE;250
м;BRAND, O, TYPE;250
с;BRAND, O, TYPE;248
▁по;BRAND, O, TYPE;243
цы;BRAND, O, TYPE;243
▁хлеб;BRAND, O, TYPE;233
л;BRAND, O, TYPE, VOLUME;233
▁кол;BRAND, O, TYPE;231
ли;BRAND, O, TYPE, VOLUME;229
.;BRAND, O, TYPE, VOLUME;228
ый;BRAND, O, TYPE;210
г;BRAND, O, TYPE;207
▁а;BRAND, O, TYPE;205
на;BRAND, O, TYPE;205
-;BRAND, O, TYPE;202
ок;BRAND, O, TYPE;195
ю;BRAND, O, TYPE;194
ф;BRAND, O, TYPE;192
р;BRAND, O, TYPE;190
х;BRAND, O, TYPE;190
▁без;BRAND, O, TYPE;190
че;O, TYPE;189
б;BRAND, O, TYPE;189
▁к;BRAND, O, TYPE;188
ни;BRAND, O, TYPE;188
ски;BRAND, O, TYPE;183
▁фр;BRAND, O, TYPE;179
но;BRAND, O, TYPE;175
▁кур;BRAND, O, TYPE;174
ле;BRAND, O, TYPE;173
ко;BRAND, O, TYPE;172
▁я;BRAND, O, TYPE;171
д;BRAND, O, TYPE;171
ов;BRAND, O, TYPE, VOLUME;171
ло;BRAND, O, TYPE;170
гур;BRAND, O, TYPE;169
ми;BRAND, O, TYPE;167
▁при;BRAND, O, TYPE;166
▁у;BRAND, O, TYPE;166
чки;BRAND, O, TYPE;165
▁па;BRAND, O, TYPE;164
▁са;BRAND, O, TYPE;160
▁п;BRAND, O, TYPE;158
ожен;BRAND, O, TYPE;156
ш;O, TYPE;154
▁гре;O, TYPE;152
▁ку;BRAND, O, TYPE;152
ог;BRAND, O, TYPE;152
▁и;BRAND, O, TYPE;147
,;BRAND, O, TYPE;143
▁бел;BRAND, O, TYPE;143
ла;BRAND, O, TYPE;142
нь;BRAND, O, TYPE;141
▁й;BRAND, O, TYPE;140
ков;BRAND, O, TYPE;139
▁крас;BRAND, O, TYPE;139
▁пече;O, TYPE;139
ж;BRAND, O, TYPE;139
чи;BRAND, O, TYPE;138
▁мя;BRAND, O, TYPE;137
▁гор;O, TYPE;137
▁сок;O, TYPE;136
лив;BRAND, O, TYPE;136
▁то;BRAND, O, TYPE;135
ель;BRAND, O, TYPE;134
▁че;BRAND, O, TYPE;134
сы;BRAND, O, TYPE;131
▁ко;BRAND, O, TYPE;131
▁вар;O, TYPE;130
коп;BRAND, O, TYPE;130
▁вода;O, TYPE;129
▁пере;BRAND, O, TYPE;126
▁кап;O, TYPE;124
▁из;BRAND, O, TYPE;120
тель;O, TYPE;120
▁пи;BRAND, O, TYPE;120
▁корм;O, TYPE;120
ст;BRAND, O, TYPE;119
ат;BRAND, O, TYPE;119
шка;BRAND, O, TYPE;118
шки;BRAND, O, TYPE;118
з;BRAND, O, TYPE;118
▁про;BRAND, O, TYPE;118
си;BRAND, O, TYPE;117
ом;O, TYPE;116
▁том;BRAND, O, TYPE;115
▁ба;BRAND, O, TYPE;115
ти;BRAND, O, TYPE;114
▁чай;BRAND, O, TYPE;114
ме;BRAND, O, TYPE;114
s;BRAND, O, TYPE;114
▁ми;BRAND, O, TYPE;113
ск;BRAND, O, TYPE;112
▁се;BRAND, O, TYPE;112
ку;BRAND, O, TYPE;112
со;BRAND, O, TYPE;111
▁за;BRAND, O, TYPE;110
ник;BRAND, O, TYPE;110
щ;O, TYPE;110
гу;BRAND, O, TYPE;110
ус;BRAND, O, TYPE;109
ва;BRAND, O, TYPE;107
▁кар;BRAND, O, TYPE;107
▁му;BRAND, O, TYPE;106
▁чи;BRAND, O, TYPE;106
▁под;BRAND, O, TYPE;106
▁го;BRAND, O, TYPE;105
▁сал;O, TYPE;105
гурт;O, TYPE;104
пель;O, TYPE;104
▁сме;BRAND, O, TYPE;103
ья;BRAND, O, TYPE;103
▁май;BRAND, TYPE;103
та;BRAND, O, TYPE;103
▁кор;BRAND, O, TYPE;102
овый;O, TYPE;101
ге;BRAND, O, TYPE;101
ше;BRAND, O, TYPE;101
▁мар;BRAND, O, TYPE;101
овые;O, TYPE;100
▁м;BRAND, O, TYPE;99
тон;BRAND, TYPE;98
▁ви;BRAND, O, TYPE;98
▁кара;BRAND, O, TYPE;98
▁сахар;O, TYPE;98
▁кофе;O, TYPE;98
ое;O, TYPE;97
▁до;BRAND, O, TYPE;97
ня;BRAND, O, TYPE;97
▁масло;O, TYPE;97
чка;BRAND, O, TYPE;97
▁си;BRAND, TYPE;97
▁мол;BRAND, O, TYPE;97
рож;BRAND, O, TYPE;96
▁мо;BRAND, O, TYPE;96
ники;BRAND, O, TYPE;96
▁т;BRAND, O, TYPE;96
▁салат;O, TYPE;96
▁рис;O, TYPE;95
▁рыб;O, TYPE;95
▁пер;BRAND, O, TYPE;95
▁та;BRAND, O, TYPE;94
очки;BRAND, O, TYPE;94
▁газ;O, TYPE;94
дор;BRAND, O, TYPE;94
▁шоколад;BRAND, O, TYPE;94
зер;BRAND, O, TYPE;94
лад;BRAND, O, TYPE;92
за;BRAND, O, TYPE;91
вы;O, TYPE;90
▁не;BRAND, O, TYPE;90
ной;BRAND, O, TYPE;90
го;BRAND, O, TYPE;90
ский;BRAND, O, TYPE;89
те;BRAND, O, TYPE;89
▁бу;BRAND, O, TYPE;89
▁чер;BRAND, O, TYPE;88
права;O, TYPE;88
▁коп;BRAND, O, TYPE;88
не;BRAND, O, TYPE;88
▁мы;O, TYPE;88
▁шам;O, TYPE;87
лен;BRAND, O, TYPE;87
▁каш;O, TYPE;87
яй;O, TYPE;87
ма;BRAND, O, TYPE;86
шек;O, TYPE;86
▁б;BRAND, O, TYPE;86
ики;BRAND, O, TYPE;85
ен;BRAND, O, TYPE;85
тик;BRAND, O, TYPE;84
до;BRAND, O, TYPE;84
очка;BRAND, O, TYPE;84
▁кра;BRAND, O, TYPE;84
га;BRAND, O, TYPE;83
▁молоко;BRAND, O, TYPE;83
ба;BRAND, O, TYPE;82
ук;BRAND, O, TYPE;82
▁кон;BRAND, O, TYPE;82
фет;O, TYPE;82
от;BRAND, O, TYPE;82
ая;BRAND, O, TYPE;82
▁от;BRAND, O, TYPE;81
ож;O, TYPE;81
соль;BRAND, O, TYPE;81
лаж;O, TYPE;81
ди;BRAND, O, TYPE;81
