tokens;tags;sample
['▁art', 'fru', 'it', '▁', 'лай'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];artfruit лай
['▁pus', 'sata'];['B-BRAND', 'I-BRAND'];pussata
['▁', 'троп', 'ическое', '▁ман', 'го'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];тропическое манго
['▁per', 'ina'];['B-BRAND', 'I-BRAND'];perina
['▁консерв', 'ирован', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE'];консервированны
['▁lieber', 'dorf'];['B-BRAND', 'I-BRAND'];lieberdorf
['▁Игр', 'ушки', '▁1', 'E', '0', 'г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME'];Игрушки 1E0г
['▁fi', 'al', 'co', '▁сам'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'O'];fialco сам
['▁Х', 'ОБ', 'БИ', '▁60', 'Л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];ХОББИ 60Л
['▁го', 'вя', 'дина', '▁туш', 'ена'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];говядина тушена
['▁бере', '▁туалет'];['B-BRAND', 'B-TYPE'];бере ▁ туалет
['▁пал', 'оч', 'кт'];['B-TYPE', 'I-TYPE', 'I-TYPE'];палочкт
['▁или', '▁банан'];['O', 'B-TYPE'];или банан
['▁замор', 'ожен', 'ные', '▁полу', 'фабрик', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];замороженные полуфабрика
['▁жы', 'ва', 'чка'];['B-TYPE', 'I-TYPE', 'I-TYPE'];жывачка
['▁макар', 'оны', '▁i', '00', 'Г', '▁акция'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'O'];макароны i00Г акция
['▁гор', 'о', 'шек', '▁ро', 'маш', 'кин'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];горошек ромашкин
['▁би', 'фи', 'до'];['B-TYPE', 'I-TYPE', 'I-TYPE'];бифидо
['▁пом', 'ид', 'оры', '▁с', 'ливо'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];помидоры сливо
['▁мо', 'пи', 'дор'];['B-TYPE', 'I-TYPE', 'I-TYPE'];мопидор
['▁ni', 'sto', 'gen'];['B-BRAND', 'I-BRAND', 'I-BRAND'];nistogen
['▁з', 'еф', 'ир', '▁540', '▁g'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];зефир 540 g
['▁dina', '▁so'];['B-BRAND', 'B-TYPE'];dina ▁so
['▁di', 'do'];['B-BRAND', 'I-BRAND'];dido
['▁', 'ват', 'ные', '▁диск'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE'];ватные диск
['▁от', 'верт', 'ки', '▁stay', 'er'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];отвертки stayer
['▁сахар', '▁3'];['B-TYPE', 'B-VOLUME'];▁ сахар ▁3
['▁', 'фор', 'ель', '▁aos'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND'];форель aos
['▁kot', 'an'];['B-BRAND', 'I-BRAND'];kotan
['▁с', 'май'];['B-TYPE', 'I-TYPE'];смай
['▁каш', 'а', '▁о', 'вся', 'нная'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];каша овсянная
['▁ман', 'гат'];['B-TYPE', 'I-TYPE'];мангат
['▁и', 'кра', '▁', 'ло', 'сос', 'е', 'вых'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];икра лососевых
['▁напитки', '▁100', '▁%'];['B-TYPE', 'B-PERCENT', 'I-PERCENT'];напитки 100 %
['▁сте', 'х', 'ло', 'мо', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];стехломои
['▁100', '▁%', '▁как', 'ао'];['B-PERCENT', 'I-PERCENT', 'B-TYPE', 'I-TYPE'];100 % какао
['▁mi', 'f', '▁календар', 'и'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];mif календари
['▁че', 'чив', 'т', 'ца'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];чечивтца
['▁400', '▁Г', '▁Li', 'roz', 'h', 'nye'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];400 Г Lirozhnye
['▁расс', 'р', 'льник'];['B-TYPE', 'I-TYPE', 'I-TYPE'];рассрльник
['▁са', 'ль', 'ти', 'сон'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];сальтисон
['▁ваш', '▁', 'ИГ', 'РЫ', '▁115', 'g'];['O', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];ваш ИГРЫ 115g
['▁масло', '▁не', 'ра', 'фини', 'рова', 'ное'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];масло нерафинированое
['▁снова', '▁в', '▁школу', '▁210', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];снова в школу 210 г
