Validation Top 20;Submission Top 20
'▁при права' (23);'красная цена' (10)
'▁кур и' (22);'приправа для' (8)
'▁ яй' (21);'средство для' (7)
'▁й о' (19);'с сыром' (7)
'о гурт' (18);'для мытья' (6)
'▁кол баса' (18);'соус для' (6)
'▁ пель' (17);'корм сухой' (6)
'▁мор ожен' (16);'булочка с' (5)
'▁твор ож' (16);'с вишней' (5)
'▁пече нь' (14);'без сахара' (4)
'▁ гель' (14);'для посуды' (4)
'▁со си' (14);'в томатном' (4)
'е ты' (14);'с солью' (4)
'нь е' (13);'2 литра' (4)
'о нез' (13);'сухой для' (4)
'коп че' (13);'специи для' (4)
'▁ох лаж' (13);'тесто для' (4)
'▁art fru' (13);'для выпечки' (3)
'▁конф е' (13);'доя посуды' (3)
'▁о вся' (13);'сок сады' (3)
