tokens;tags
['▁гре', 'ч', 'ично', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'ает', 'чуп'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁кур', 'иро', 'е', '▁фил', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁то', 'рт', '▁то', 'рту', 'га', 'ли'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
['▁', 'СПАН', 'ГЕ', 'ТИ'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁корм', '▁ра', 'гу', '▁Го', 'Вя'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND']
['▁', 'бад', 'ьян'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁Крас', 'Ный', '▁а', 'пель', 'син'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁порт', 'вей'];['B-TYPE', 'I-TYPE']
['▁бо', 'ын', 'за'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁KOT', 'AN'];['B-BRAND', 'I-BRAND']
['Jevea', '500мл', 'вода'];['B-BRAND', 'B-VOLUME', 'B-TYPE']
['▁сок', '▁', 'Фр', 'У', 'То', '▁', 'НЯ', 'НЯ'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁с', 'пл', 'фет', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁Р', 'Пя', 'Ники'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁нем', 'роо', 'ко'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['колбаса', 'Гост'];['B-TYPE', 'B-BRAND']
['30г', 'чипсы'];['B-VOLUME', 'B-TYPE']
['▁хот', 'сы'];['B-TYPE', 'I-TYPE']
['▁мор', 'ожен', 'ое', '▁как', '▁раньше'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O']
['▁рыб', 'а', '▁крас', 'на'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁', 'M@lon', 'Ia'];['B-BRAND', 'I-BRAND', 'I-BRAND']
['▁ту', 'м', 'бы'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['конфеты', 'feerero'];['B-TYPE', 'B-BRAND']
['▁Кон', 'Струк', 'То'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'за', 'род', 'ы', 'шей'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁пет', 'руш', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁CLIP', 'STUDIO', '▁блок', 'нот'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
['▁жив', 'ачки'];['B-TYPE', 'I-TYPE']
['▁ПИРО', 'ЖНО', 'Е'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁Сред', 'С', 'Вл'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁си', 'др', '▁erdi', 'nger'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁труб', 'очки', '▁с', '▁крем', 'ом'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
['▁кур', 'к', 'к', 'ма'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'мя', 'с'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁диван', '-', 'кро', 'вати'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'теля', 'тина', '▁', 'Мор', 'Ожен', 'Ая'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁о', 'гур', 'цы', ','];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁Национал', 'Ьный', '▁Х', 'Л'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁big', '▁bon'];['B-BRAND', 'B-BRAND']
['▁ма', 'ион', 'ез'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['5.', '2Г', 'Кофе', 'intenso'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'B-BRAND']
['хлеб', '2T0Г'];['B-TYPE', 'B-VOLUME']
['▁сал', 'фет', '4', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁гри', 'на', 'гро'];['B-BRAND', 'I-BRAND', 'I-BRAND']
['▁Макар', 'Оны', '▁по', '▁флот', 'ски'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
['▁ви', 'ног', 'рал'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'ЛАМ', 'Ь', 'ЕР'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
