sample;tokens;tags
корице;['▁кори', 'це'];['B-TYPE', 'I-TYPE']
носки джульви;['▁но', 'ски', '▁дж', 'уль', 'ви'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
eli;['▁eli'];['B-BRAND']
сыр плавленый для супа;['▁сыр', '▁плав', 'ле', 'ный', '▁для', '▁су', 'па'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
гарибальди сосис.;['▁га', 'риб', 'аль', 'ди', '▁со', 'си', 'с', '.'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
гранулах стм;['▁гра', 'нула', 'х', '▁ст', 'м'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
бакалжаны;['▁ба', 'кал', 'жаны'];['B-TYPE', 'I-TYPE', 'I-TYPE']
рубаши, срок;['▁', 'руба', 'ши', ',', '▁срок'];['O', 'O', 'O', 'O', 'O']
галантеейные асессуары;['▁гала', 'н', 'те', 'ей', 'ные', '▁ас', 'есс', 'у', 'ары'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
уитка с гов;['▁у', 'и', 'тка', '▁с', '▁', 'гов'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
союзпищепром бат;['▁союз', 'п', 'ище', 'про', 'м', '▁бат'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE']
кресла, стуль;['▁кре', 'сла', ',', '▁ст', 'уль'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
электрогрлнд;['▁электро', 'гр', 'л', 'нд'];['O', 'O', 'O', 'O']
пирожки;['▁пиро', 'жки'];['B-TYPE', 'I-TYPE']
коровино варенн;['▁кор', 'ови', 'но', '▁в', 'арен', 'н'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
отборные;['▁отбор', 'ные'];['B-TYPE', 'I-TYPE']
энертик;['▁эне', 'р', 'тик'];['B-TYPE', 'I-TYPE', 'I-TYPE']
акефир;['▁ак', 'еф', 'ир'];['B-TYPE', 'I-TYPE', 'I-TYPE']
коробка loum;['▁короб', 'ка', '▁lo', 'um'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
сиетана;['▁си', 'ета', 'на'];['B-BRAND', 'I-BRAND', 'I-BRAND']
винегр;['▁', 'вине', 'гр'];['B-TYPE', 'I-TYPE', 'I-TYPE']
судак замороженн;['▁суд', 'ак', '▁замор', 'ожен', 'н'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
портвен;['▁порт', 'вен'];['B-TYPE', 'I-TYPE']
карошка;['▁кар', 'о', 'шка'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сыр ады;['▁сыр', '▁', 'ады'];['B-TYPE', 'B-TYPE', 'I-TYPE']
милава брынза;['▁ми', 'лава', '▁бр', 'ын', 'за'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
