tokens;tags
['▁с', 'лив', 'у', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['они', 'ЭНЕРГЕТИКИ', '0.449л'];['O', 'B-TYPE', 'B-VOLUME']
['▁повод', 'ко'];['B-TYPE', 'I-TYPE']
['▁кри', 'кет'];['B-TYPE', 'I-TYPE']
['▁диск', 'и', ',', '▁гри', 'ф', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁chi', '▁', '225'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁дом', 'ик', '▁в', '▁д'];['B-BRAND', 'I-BRAND', 'B-BRAND', 'B-BRAND']
['60шт', 'салфетки', 'именно'];['B-VOLUME', 'B-TYPE', 'O']
['отдых', '1.25', 'л'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['хлебцы', '125g'];['B-TYPE', 'B-VOLUME']
['салфетки', '8шт'];['B-TYPE', 'B-VOLUME']
['▁к', 'росс'];['B-TYPE', 'I-TYPE']
['стоимость', 'отдых', '5.3л'];['O', 'B-TYPE', 'B-VOLUME']
['замороженные', 'блюда', '40rГ'];['B-TYPE', 'I-TYPE', 'B-VOLUME']
['▁в', 'арен', '.', '▁де', 'лик'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['соусы', '400', 'g'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['9%', 'мороженое'];['B-PERCENT', 'B-TYPE']
['▁спец', 'ии'];['B-TYPE', 'I-TYPE']
['сосиски', '470', 'г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁кре', 'кер', 'ы', '▁рыб', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['заказать', 'вкус', '182g'];['O', 'B-TYPE', 'B-VOLUME']
['▁спре', 'й', '▁ba'];['B-TYPE', 'I-TYPE', 'B-BRAND']
['▁ТУАЛЕТ', 'ны', '▁8'];['B-TYPE', 'B-BRAND', 'B-VOLUME']
['котлеты', '600г'];['B-TYPE', 'B-VOLUME']
['декор', 'для', 'дома', '1.6', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁', 'яйца', '▁Крас'];['B-TYPE', 'I-TYPE', 'B-BRAND']
['▁', 'имо', 'над'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁гал', 'е', 'ты', '▁все', 'сла'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['lavash', '250g'];['B-TYPE', 'B-VOLUME']
['выгодно', '80шт'];['B-TYPE', 'B-VOLUME']
['выпечка', '90', 'Г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁рост', 'ов', 'ское'];['B-BRAND', 'I-BRAND', 'I-BRAND']
['▁део', 'зор', 'ант'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁н', 'ф', '▁', 'скре', 'б', 'к'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'мс', 'ало'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['сухарики', '70г'];['B-TYPE', 'B-VOLUME']
['▁птиц', 'ы'];['B-TYPE', 'I-TYPE']
['выпечка', '60', 'г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁го', 'рох', 'овый'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁hr', 't', 'x'];['O', 'O', 'O']
['сосиски', '350', 'Г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['shokolad', '70', '%'];['B-TYPE', 'B-PERCENT', 'I-PERCENT']
['▁бел', 'око'];['B-TYPE', 'I-TYPE']
['▁гре', 'ч', 'кс'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['Дача', 'q00', 'Г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁кол', 'ба', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['основные', 'блюда', '110г'];['B-TYPE', 'I-TYPE', 'B-VOLUME']
['сухие', 'завтраки', '1кг'];['B-TYPE', 'I-TYPE', 'B-VOLUME']
['▁семей', 'ка'];['B-TYPE', 'I-TYPE']
['▁вода', '▁', 'ю', 'ез', '▁газ', 'а'];['B-TYPE', 'O', 'O', 'O', 'O', 'O']
['▁свято', 'ц'];['B-TYPE', 'I-TYPE']
['халва', '275Г'];['B-TYPE', 'B-VOLUME']
['ВИНО', '0.R49л', 'был'];['B-TYPE', 'B-VOLUME', 'O']
['варенье', '1л'];['B-TYPE', 'B-VOLUME']
['▁ме', '▁', '60'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['игры', '120', 'г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁coca', '-', 'cola'];['B-BRAND', 'I-BRAND', 'I-BRAND']
['▁картоф', 'е', 'о', 'ь'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['мясные', '50Г'];['B-TYPE', 'B-VOLUME']
['▁с', 'тка', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'нут', 'те', 'ла'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
['▁че', 'сно', 'ек'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['сухари', '125', 'Г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['50мл', 'уход', 'за', 'волосами'];['B-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['Мороженое', '48g'];['B-TYPE', 'B-VOLUME']
['▁ca', 'terra'];['B-BRAND', 'I-BRAND']
['после', '185', 'г', 'крекеры'];['O', 'B-VOLUME', 'I-VOLUME', 'B-TYPE']
['▁', 'станция', '▁', 'СМЕТА'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
['▁li', 'gu', 'ori'];['B-BRAND', 'I-BRAND', 'I-BRAND']
['хлеб', '400Г'];['B-TYPE', 'B-VOLUME']
['сухофрукты', '150г'];['B-TYPE', 'B-VOLUME']
['морепродукты', '480', 'Г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['морепродукты', '500ml'];['B-TYPE', 'B-VOLUME']
['для', 'ПРЯНИКИ', '224', 'г'];['O', 'B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁на', 'пл', 'дни', 'тель'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁газ', 'ировка', '▁', 'лай', 'мон', '▁фр', 'еш'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND']
['Снова', 'В', 'Школу', '45', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME']
['замороженные', 'блюда', '1', 'КГ'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME']
['Q60Г', 'ГРИБЫ'];['B-VOLUME', 'B-TYPE']
['0.', '5', '%', 'вино'];['B-PERCENT', 'I-PERCENT', 'I-PERCENT', 'B-TYPE']
['110г', 'супы'];['B-VOLUME', 'B-TYPE']
['▁тендер', '▁ты', 'кв'];['B-BRAND', 'B-TYPE', 'I-TYPE']
['140г', 'сыр'];['B-VOLUME', 'B-TYPE']
['65г', 'сдоба'];['B-VOLUME', 'B-TYPE']
['▁минерал', 'ьно', '-', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['мясные', '40%'];['B-TYPE', 'B-PERCENT']
['икра', '150', 'Г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['лицом', '99', '%'];['B-TYPE', 'B-PERCENT', 'I-PERCENT']
"[""sol'"", '100g']";['B-TYPE', 'B-VOLUME']
['хобби', '32', 'g'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁й', 'о', 'гурт', '▁с', '▁ша'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O']
['▁хлеб', '▁для', '▁пи', 'ц', 'цы'];['B-TYPE', 'O', 'O', 'O', 'O']
['вкус', '40', '%'];['B-TYPE', 'B-PERCENT', 'I-PERCENT']
['▁гре', 'чу', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁гор', 'рш', 'нк'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['завтра', '201', 'г', 'стирка'];['O', 'B-VOLUME', 'I-VOLUME', 'B-TYPE']
['хозтовары', '20шт'];['B-TYPE', 'B-VOLUME']
['▁було', 'чки', '▁ав', 'анг', 'ард'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁це', 'зар', 'ь', '▁салат'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
['▁', 'гель', '▁муж', 'ской'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['60г', 'Чипсы'];['B-VOLUME', 'B-TYPE']
['▁лист'];['B-TYPE']
['▁без', 'лак', 'т'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁книж', 'к'];['B-TYPE', 'I-TYPE']
['▁kite', 'lat'];['B-BRAND', 'I-BRAND']
['кукурузные', 'снеки', '50Г', 'распродажа'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'O']
['▁раст', 'ител'];['B-TYPE', 'I-TYPE']
['▁гор', 'ч', 'ично'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁по', 'ми', 'ды', 'ры'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['ИГРУШКИ', '60г'];['B-TYPE', 'B-VOLUME']
['▁кон', 'е', 'фе', 'ты'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁тест', 'о', '▁дро', 'ж', 'же', 'вое'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['ь', '▁сок'];['B-BRAND', 'B-TYPE']
['▁бу', 'мад', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁гал', 'тс', 'ук'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁гал', 'е', 'ты', '▁здрава'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
['йогурты', '400', 'g'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁гре', 'нк', 'м'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['ЗАВТРАКИ', '175г'];['B-TYPE', 'B-VOLUME']
['▁хлеб', 'ци'];['B-TYPE', 'I-TYPE']
['▁la', 'mber'];['B-BRAND', 'I-BRAND']
['▁а', 'джи', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE']
